"id","鄉鎮市區","交易標的","土地區段位置建物區段門牌","土地移轉總面積平方公尺","都市土地使用分區","非都市土地使用分區","非都市土地使用編定","交易年月日","交易筆棟數","移轉層次","總樓層數","建物型態","主要用途","主要建材","建築完成年月","建物移轉總面積平方公尺","建物現況格局.房","建物現況格局.廳","建物現況格局.衛","建物現況格局.隔間","有無管理組織","總價元","單價元平方公尺","車位類別","車位移轉總面積.平方公尺.","車位總價元","備註","編號","主建物面積","附屬建物面積","陽台面積","電梯","移轉編號","X","X.1","X.2","X.3","X.4","Response_X","Response_Y","Count"
1937,"西屯區","房地(土地+建物)","西屯路二段惠安巷148弄1~30號",65,"都市：其他:第三之二種住宅區","","",1090924,"土地1建物1車位0","全","二層","透天厝","住家用","見其他登記事項",620605,89.23,2,2,2,"有","無",10000000,112070,"",0,0,"親友、員工、共有人或其他特殊關係間之交易","其他增建","","RPPTMLRLIIPFFCB78EA","89.23","0","0","無","","","","",214235.976,2673731.81,6
1938,"北屯區","房地(土地+建物)+車位","軍和街31~60號",26.38,"都市：其他:第二種住宅區","","",1090930,"土地1建物1車位1","七層","十五層","住宅大樓(11層含以上有電梯)","住家用","鋼筋混凝土造",801226,174.79,3,2,2,"有","有",8200000,46913,"坡道平面",0,0,"","RPTSMLNKIIPFFBB38DA","150.32","11.97","0","有","","","","","","",222338.236,2674707.009,1
1939,"北屯區","房地(土地+建物)+車位","文心路四段271~300號",10.29,"都市：其他:第三種住宅區。","","",1090925,"土地1建物1車位1","四層","二十二層","住宅大樓(11層含以上有電梯)","住家用","鋼筋混凝土造",1020725,113.21,1,1,1,"有","有",8588000,75859,"坡道機械",13.62,0,"","RPVTMLSJIIPFFBB09DA","58.47","8.7","0","有","","","","","","",219261.56,2674001.986,5
1940,"北區","房地(土地+建物)","北興街271~300號",26.2,"都市：其他:第二種住宅區","","",1090929,"土地2建物1車位0","四層","五層","公寓(5樓含以下無電梯)","住家用","鋼筋混凝土造",680123,77.78,3,2,2,"有","無",2700000,34713,"",0,0,"","RPPTMLSJIIPFFBB48DA","77.78","0","0","無","1829","","","","","",217671.617,2673244.287,6
1941,"北屯區","房地(土地+建物)+車位","軍福七路31~60號",23.43,"都市：其他:第二種住宅區","","",1090920,"土地1建物1車位1","五層","十二層","住宅大樓(11層含以上有電梯)","住家用","鋼筋混凝土造",1001111,141.01,3,2,2,"有","有",8650000,61343,"坡道機械",0,0,"","RPPVMLTLRHPFFBB17DA","76.53","11.49","0","有","","","","","","",220918.861,2673448.441,4
1942,"北屯區","房地(土地+建物)+車位","大連路二段211~240號",18.7,"都市：其他:第二種住宅區","","",1090911,"土地1建物1車位1","三層","十四層","住宅大樓(11層含以上有電梯)","住家用","鋼筋混凝土造",950413,140.38,3,2,2,"有","有",12500000,89044,"坡道平面",0,0,"陽台外推","","RPWTMLKMRHPFFBB86DA","62.61","26.24","0","有","1830","","","","",218521.942,2674504.123,6
1943,"北區","房地(土地+建物)+車位","梅川西路四段121~150號",14.7,"都市：其他:第二種住宅區","","",1090922,"土地1建物1車位1","九層","十七層","住宅大樓(11層含以上有電梯)","住家用","鋼筋混凝土造",831122,153.96,2,2,2,"有","有",8700000,56505,"坡道平面",0,0,"","RPUTMLQLIIPFFBB98DA","117.9","13.07","0","有","","","","","","",217405.415,2674187.896,6
1944,"北區","房地(土地+建物)","進化北路361~390號",3.18,"都市：其他:第一種商業區","","",1090929,"土地1建物1車位0","十八層","十八層","住宅大樓(11層含以上有電梯)","住家用","鋼筋混凝土造",830207,70.9,1,1,1,"有","有",3188000,44965,"",0,0,"其他增建","","RPPUMLQLIIPFFBB58DA","24.73","24.88","0","有","","","","","",216987.619,2673142.666,6
1945,"北區","房地(土地+建物)","健行路766巷31~60號",3.81,"都市：其他:第二種住宅區","","",1090929,"土地1建物1車位0","五層","十三層","住宅大樓(11層含以上有電梯)","住家用","鋼筋混凝土造",840308,34.71,1,1,1,"有","有",2200000,63382,"",0,0,"","RPOVMLSLIIPFFBB78DA","18.72","4.78","0","有","1831","","","","","",216462.003,2673065.217,6
1946,"北屯區","房地(土地+建物)+車位","松竹五路二段121~150號",24.68,"都市：其他:第三種住宅區。","","",1091010,"土地2建物1車位2","八層","十層","華廈(10層含以下有電梯)","住家用","鋼筋混凝土造",970912,195.88,4,2,2,"有","有",11650000,59475,"坡道平面",0,0,"陽台外推","","RPSOMLSLIIPFFBB48DA","91.99","15.66","0","有","","","","","",220902.758,2675153.265,2
1947,"北屯區","房地(土地+建物)","國強街181巷1~30號",197,"都市：其他:第二種住宅區","","",1090711,"土地1建物1車位0","全","一層","透天厝","住家用","加強磚造",681224,98.86,4,2,3,"有","無",17300000,174995,"",0,0,"","RPPPMLMLIIPFFBB67DA","98.86","0","0","無","","","","","","",219161.261,2673066.429,6
1948,"北屯區","房地(土地+建物)","軍南二街1~30號",123.28,"都市：其他:第一種住宅區","","",1090925,"土地3建物1車位0","全","四層","透天厝","住家用","鋼筋混凝土造",960930,209.17,4,3,3,"有","無",19800000,94660,"",0,0,"其他增建","","RPPOMLMLIIPFFBB57DA","177.2","29.71","0","無","","","","","",221117.255,2674905.847,2
