鄉鎮市區,交易標的,土地區段位置建物區段門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局.房,建物現況格局.廳,建物現況格局.衛,建物現況格局.隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積.平方公尺.,車位總價元,備註,編號,主建物面積,附屬建物面積,陽台面積,電梯,移轉編號,X,X.1,X.2,X.3,X.4,Response_X,Response_Y
西區,房地(土地+建物),臺中市西區忠勤街121~150號,86,都市：其他:第二種住宅區,,,1090925,土地1建物1車位0,全,二層,透天厝,商業用,見其他登記事項,621018,111.37,3,2,3,有,無,19500000,175092,,0,0,含傢俱設備費,頂樓加蓋,其他增建,,RPTTMLQKIIPFFAB68DA,111.37,0,0,無,,,,216472.032,2670944.563
南區,房地(土地+建物),臺中市南區美村路二段181~210號,28.03,都市：其他:第二種住宅區,,,1090927,土地1建物1車位0,七層，地下層,七層,華廈(10層含以下有電梯),商業用,鋼筋混凝土造,790412,293.34,9,0,9,有,有,16500000,56249,,0,0,,RPUQMLMKIIPFFAB08DA,252.48,1.36,0,有,1436,,,,,,216589.271,2668626.6
中區,房地(土地+建物),臺中市中區成功路248巷22之1~30號,11.22,都市：其他:第一種商業區,,,1090924,土地4建物2車位0,三層,八層,華廈(10層含以下有電梯),商業用,鋼筋混凝土造,661101,58.66,1,2,2,有,有,2200000,37504,,0,0,,RPUOMLTKIIPFFAB68EA,58.66,0,0,有,,,,,,,217614.056,2670926.89
中區,房地(土地+建物),臺中市中區民族路61~90號,5.12,都市：其他:第一種商業區,,,1090802,土地1建物1車位0,十層,十一層,公寓(5樓含以下無電梯),商業用,鋼筋混凝土造,770929,44.49,1,1,1,有,無,1900000,42706,,0,0,,RPOOMLTKIIPFFAB97DA,30,0,0,無,,,,,,,216917.429,2670994.625
東區,房地(土地+建物),臺中市東區復興路四段121~150號,154,都市：其他:第二種商業區,,,1090827,土地3建物1車位0,全,二層,透天厝,商業用,見其他登記事項,,140.22,0,0,0,無,無,39500000,281700,,0,0,未登記建物,,RPVPMLKLIIPFFAB08EA,140.22,0,0,無,,,,,,218413.75,2670567.901
西區,房地(土地+建物),臺中市西區自治街151~180號,47.63,都市：其他:第一種商業區,,,1090916,土地3建物2車位0,十一層,十二層,住宅大樓(11層含以上有電梯),商業用,鋼筋混凝土造,791004,596.78,0,0,0,無,有,22000000,36865,,0,0,,RPWOMLMLIIPFFAB28EA,455.31,20.91,0,有,,,,,,,216228.196,2670906.313
中區,房地(土地+建物),臺中市中區臺灣大道一段306巷31~60號,106.69,都市：其他:第一種商業區,,,1090805,土地1建物1車位0,四層,七層,華廈(10層含以下有電梯),商業用,鋼筋混凝土造,820827,1016.64,27,10,27,有,有,36000000,35411,,0,0,,RPSPMLPKIIPFFAB08DA,672.58,4.98,0,有,,,,,,,217568.63,2670811.96
西屯區,房地(土地+建物),臺中市西屯區文華路181~210號,102,都市：其他:第三之二種住宅區,,,1090904,土地2建物1車位0,全,二層,透天厝,商業用,加強磚造,600501,124.27,3,2,4,有,無,39800000,320270,,0,0,含租約,,RPPQMLMLIIPFFCB87DA,124.27,0,0,無,,,,,,214046.847,2675528.031
潭子區,房地(土地+建物),臺中市潭子區潭子街一段31巷1~30號,20.26,都市：其他:住宅區,,,1091009,土地1建物1車位0,一層,五層,公寓(5樓含以下無電梯),商業用,鋼筋混凝土造,801216,78.22,0,0,0,無,無,5650000,72232,,0,0,,RPROMLOKIIPFFHB48DA,66.58,11.64,0,無,887,,,,,,220184.711,2678786.719
北屯區,房地(土地+建物),臺中市北屯區遼寧路一段51巷1~30號,9.25,都市：其他:第二種住宅區,,,1090927,土地1建物1車位0,一層,九層,華廈(10層含以下有電梯),商業用,鋼筋混凝土造,830330,52.95,1,1,1,有,有,3400000,64212,,0,0,,RPPUMLTLRHPFFBB07DA,39.34,9.65,0,有,,,,,,,219080.658,2674420.512
北屯區,房地(土地+建物),臺中市北屯區青島路三段151~180號,32.66,都市：其他:第二種商業區,,,1090915,土地1建物1車位0,一層，騎樓,十六層,公寓(5樓含以下無電梯),商業用,鋼筋混凝土造,850106,209.62,0,0,0,無,無,19000000,90640,,0,0,,RPPOMLQJIIPFFBB77DA,172.77,0,0,無,,,,,,,217988.13,2673718.705
西區,房地(土地+建物),臺中市西區西屯路一段151~180號,33,都市：其他:第二種住宅區,,,1091012,土地1建物1車位0,三層,七層,華廈(10層含以下有電梯),商業用,鋼筋混凝土造,830922,150.4,7,0,6,有,無,14020000,93218,,0,0,其他增建:天井其他增建,,RPPPMLTKIIPFFAB18DA,112.65,11.89,0,有,1696,,,,,216470.39,2672153.811
南區,房地(土地+建物),臺中市南區信義南街81巷1~30號,4.24,都市：其他:第二種住宅區,,,1090914,土地2建物1車位0,一層,二十四層,住宅大樓(11層含以上有電梯),商業用,鋼筋混凝土造,851211,33.82,1,1,2,有,有,3500000,103489,,0,0,其他增建,,RPPNMLPLIIPFFAB67DA,24.6,0,0,有,1785,,,,,216834.14,2669259.078
太平區,房地(土地+建物),臺中市太平區中興路91~120號,14.17,都市：其他:第一種住宅區,,,1040805,土地1建物1車位0,一層,二層,公寓(5樓含以下無電梯),商業用,加強磚造,760320,9.7,0,0,0,無,無,875000,90206,,0,0,市場攤位,,RPSPMLQLIIPFFJB66EA,9.7,0,0,無,1792,,,,,220847.29,2668982.04
太平區,房地(土地+建物),臺中市太平區中興路91~120號,14.35,都市：其他:第一種住宅區,,,1040805,土地1建物1車位0,一層,二層,公寓(5樓含以下無電梯),商業用,加強磚造,760320,9.7,0,0,0,無,無,875000,90206,,0,0,市場攤位,,RPUPMLQLIIPFFJB86EA,9.7,0,0,無,1792,,,,,220847.29,2668982.04
太平區,房地(土地+建物),臺中市太平區中興路91~120號,14.35,都市：其他:第一種住宅區,,,1040805,土地1建物1車位0,一層,二層,公寓(5樓含以下無電梯),商業用,加強磚造,760320,9.7,0,0,0,無,無,875000,90206,,0,0,市場攤位,,RPVPMLQLIIPFFJB96EA,9.7,0,0,無,1792,,,,,220847.29,2668982.04
太平區,房地(土地+建物),臺中市太平區中興路91~120號,13.82,都市：其他:第一種住宅區,,,1040806,土地1建物1車位0,一層,二層,公寓(5樓含以下無電梯),商業用,加強磚造,760320,9.51,0,0,0,無,無,875000,92008,,0,0,市場攤位,,RPPQMLQLIIPFFJB09EA,0,0,0,無,1792,,,,,220847.29,2668982.04
太平區,房地(土地+建物),臺中市太平區中興路91~120號,14.35,都市：其他:第一種住宅區,,,1040806,土地1建物1車位0,一層,二層,公寓(5樓含以下無電梯),商業用,加強磚造,760320,9.7,0,0,0,無,無,875000,90206,,0,0,市場攤位,,RPQQMLQLIIPFFJB56EA,0,0,0,無,1792,,,,,220847.29,2668982.04
太平區,房地(土地+建物),臺中市太平區中興路91~120號,14.35,都市：其他:第一種住宅區,,,1040805,土地1建物1車位0,一層,二層,公寓(5樓含以下無電梯),商業用,加強磚造,760320,9.7,0,0,0,無,無,875000,90206,,0,0,市場攤位,,RPRQMLQLIIPFFJB66EA,0,0,0,無,1792,,,,,220847.29,2668982.04
太平區,房地(土地+建物),臺中市太平區中興路91~120號,14.17,都市：其他:第一種住宅區,,,1040805,土地1建物1車位0,一層,二層,公寓(5樓含以下無電梯),商業用,加強磚造,760320,9.7,0,0,0,無,無,875000,90206,,0,0,市場攤位,,RPSQMLQLIIPFFJB76EA,0,0,0,無,1792,,,,,220847.29,2668982.04
太平區,房地(土地+建物),臺中市太平區中興路91~120號,14.35,都市：其他:第一種住宅區,,,1040805,土地1建物1車位0,一層,二層,公寓(5樓含以下無電梯),商業用,加強磚造,760320,9.7,0,0,0,無,無,875000,90206,,0,0,市場攤位,,RPTQMLQLIIPFFJB86EA,0,0,0,無,1792,,,,,220847.29,2668982.04
