"id","鄉鎮市區","交易標的","土地區段位置建物區段門牌","土地移轉總面積平方公尺","都市土地使用分區","非都市土地使用分區","非都市土地使用編定","交易年月日","交易筆棟數","移轉層次","總樓層數","建物型態","主要用途","主要建材","建築完成年月","建物移轉總面積平方公尺","建物現況格局.房","建物現況格局.廳","建物現況格局.衛","建物現況格局.隔間","有無管理組織","總價元","單價元平方公尺","車位類別","車位移轉總面積.平方公尺.","車位總價元","備註","編號","主建物面積","附屬建物面積","陽台面積","電梯","移轉編號","X","X.1","X.2","X.3","X.4","Response_X","Response_Y","dist","dist.1","dist.2","dist.3","dist.4","dist.5","dist.6","dist.7","dist.8","dist.9"
1328,"北區","房地(土地+建物)","臺中市北區健行路86巷7弄31~60號",45,"都市：其他:第二種住宅區","","",1091012,"土地2建物1車位0","全","二層","透天厝","住家用","鋼筋混凝土加強磚造",610111,44.78,3,2,2,"有","無",3500000,78160,NA,0,0,"","RPWOMLPKIIPFFBB48DA","44.78","0","0","無","","","","","","",218365.484,2672825.358,1250,1250,1250,1250,1250,1250,1250,1000,1250,1250
1329,"北屯區","房地(土地+建物)","臺中市北屯區北屯路31~60號",55.05,"都市：其他:第二種住宅區","","",1090911,"土地3建物1車位0","全","二層","透天厝","住家用","見其他登記事項",560913,75.87,3,2,3,"有","無",5350000,70515,NA,0,0,"頂樓加蓋","","RPXNMLMLIIPFFBB28DA","75.87","0","0","無","2172","","","","",219838.595,2675740.423,1250,1250,1250,1250,1250,1250,1250,1250,1250,1250
1330,"北區","房地(土地+建物)","臺中市北區梅川東路三段151~180號",20.95,"都市：其他:第二種住宅區","","",1091007,"土地1建物1車位0","五層","七層","華廈(10層含以下有電梯)","住家用","鋼筋混凝土造",750912,113.62,3,2,1,"有","有",5800000,51047,NA,0,0,"","RPSOMLQLIIPFFBB28DA","70.24","6.67","0","有","2173","","","","","",216807.079,2671932.751,1250,1250,1250,1250,1250,1250,1250,1000,1250,1250
1331,"北區","房地(土地+建物)","臺中市北區五常街361~390號",3.06,"都市：其他:第一種商業區","","",1091027,"土地1建物1車位0","十六層","十七層","住宅大樓(11層含以上有電梯)","住家用","鋼筋混凝土造",971128,32.34,1,1,1,"有","有",2700000,83488,NA,0,0,"","RPRVMLQLIIPFFBB88DA","17.04","2.79","0","有","","","","","","",217501.776,2673097.751,1250,1250,1250,1250,1250,1250,1250,750,1250,1250
1332,"北屯區","房地(土地+建物)","臺中市北屯區后庄北路1~30號",9.64,"都市：其他:第二種住宅區","","",1091006,"土地1建物1車位0","六層","十二層","住宅大樓(11層含以上有電梯)","住家用","鋼筋混凝土造",810919,84.4,2,2,1,"有","有",5260000,62322,NA,0,0,"陽台外推","","RPRTMLQJIIPFFBB48DA","59.21","7.06","0","有","","","","","",215956.698,2676225.021,1250,1250,1250,1250,1250,1250,1250,1250,1250,1250
1333,"北屯區","房地(土地+建物)","臺中市北屯區天津路四段301~330號",1.68,"都市：其他:第一種商業區","","",1091008,"土地1建物1車位0","十七層","二十四層","住宅大樓(11層含以上有電梯)","住家用","鋼筋混凝土造",840626,25.61,1,0,1,"有","有",1800000,70285,NA,0,0,"","RPWQMLNKIIPFFBB48DA","13.83","3.89","0","有","","","","","","",218803.418,2673991.74,1250,1250,1250,1250,1250,1250,1250,1250,1250,1250
1334,"中區","房地(土地+建物)","臺中市中區民族路181~210號",9.85,"都市：其他:第一種商業區","","",1091025,"土地1建物1車位0","七層","八層","華廈(10層含以下有電梯)","住家用","鋼筋混凝土造",710624,44.39,1,0,1,"有","無",1450000,32665,NA,0,0,"","RPQNMLPJJIPFFAB67DA","21.62","15.66","0","有","2180","","","","","",216917.429,2670994.625,1250,1000,1000,1250,1250,1250,1250,1250,500,500
1335,"南區","房地(土地+建物)","臺中市南區仁和一街61~90號",17,"都市：其他:第二種住宅區","","",1091021,"土地1建物1車位0","四層","七層","華廈(10層含以下有電梯)","住家用","鋼筋混凝土造",830601,116.96,3,2,1,"有","有",4880000,41724,NA,0,0,"","RPRNMLPJJIPFFAB77DA","74.4","10.19","0","有","","","","","","",217843.806,2668964.08,1250,1250,1250,1250,1250,1250,1250,1250,1250,1250
1336,"中區","房地(土地+建物)","臺中市中區中華路二段24巷1~30號",87,"都市：其他:第二種商業區","","",1091005,"土地2建物1車位0","全","三層","透天厝","住家用","見其他登記事項",640116,129.22,4,4,4,"有","無",3500000,27086,NA,0,0,"親友、員工、共有人或其他特殊關係間之交易","頂樓加蓋","其他增建","未登記建物","","RPSNMLPJJIPFFAB87DA","129.22","0","0","無","","",217495.266,2671326.703,750,1250,1250,1250,1250,1250,1250,1250,1000,500
1337,"西區","房地(土地+建物)","臺中市西區公益路174巷61~90號",32.76,"都市：其他:第二種住宅區","","",1090930,"土地1建物1車位0","五層","五層","公寓(5樓含以下無電梯)","住家用","鋼筋混凝土造",740125,109.75,4,3,3,"有","有",5420000,49385,NA,0,0,"頂樓加蓋","","RPTNMLLMIIPFFAB77DA","101.56","4.51","0","無","2181","","","","",215325.913,2672232.069,1250,1250,1250,1250,1250,750,1250,1250,1250,1250
