"鄉鎮市區","交易標的","土地區段位置建物區段門牌","土地移轉總面積平方公尺","都市土地使用分區","非都市土地使用分區","非都市土地使用編定","交易年月日","交易筆棟數","移轉層次","總樓層數","建物型態","主要用途","主要建材","建築完成年月","建物移轉總面積平方公尺","建物現況格局.房","建物現況格局.廳","建物現況格局.衛","建物現況格局.隔間","有無管理組織","總價元","單價元平方公尺","車位類別","車位移轉總面積平方公尺","車位總價元","備註","編號"
"北區","房地(土地+建物)","臺中市北區漢口路四段1~30號",12.32,"住","","",1081027,"土地1建物1車位0","四層","七層","華廈(10層含以下有電梯)","住家用","鋼筋混凝土造","0810622",64.87,2,1,1,"有","有",2970000,45784,"",0,0,"","RPVRMLOJKIOFFBB48CA"
"北屯區","房地(土地+建物)","臺中市北屯區熱河路二段181~210號",19.58,"商","","",1081102,"土地1建物1車位0","九層，十層","十層","華廈(10層含以下有電梯)","住家用","鋼筋混凝土造","0820908",182.62,4,2,3,"有","有",8100000,44354,"",0,0,"","RPRNMLTJKIOFFBB18CA"
"北屯區","房地(土地+建物)","臺中市北屯區興安路二段31~60號",17.24,"住","","",1081017,"土地1建物2車位0","三層","八層","華廈(10層含以下有電梯)","住家用","鋼筋混凝土造","0811120",95.21,3,2,2,"有","有",5200000,54616,"",0,0,"","RPVSMLQJKIOFFBB78CA"
"西屯區","房地(土地+建物)","臺中市西屯區臺灣大道三段61~90號",6.93,"住","","",1081102,"土地1建物1車位0","十層","二十二層","住宅大樓(11層含以上有電梯)","住家用","鋼筋混凝土造","0950816",109.74,3,2,2,"有","有",9700000,88391,"",0,0,"含增建或未登記建物。","RPTQMLOJKIOFFCB28CA"
"西屯區","房地(土地+建物)","臺中市西屯區忠義街61~90號",4.26,"商","","",1081024,"土地1建物1車位0","四層","八層","套房(1房1廳1衛)","住家用","鋼筋混凝土造","0810703",34.46,1,1,1,"有","有",2050000,59489,"",0,0,"","RPSPMLOJKIOFFCB08CA"
"西屯區","房地(土地+建物)","臺中市西屯區福星路151~180號",7.61,"住","","",1081108,"土地1建物1車位0","八層","十三層","住宅大樓(11層含以上有電梯)","住家用","鋼筋混凝土造","0960929",57.43,2,1,1,"有","有",5e+06,87063,"",0,0,"","RPQQMLSLJIOFFCB48CA"
"西屯區","房地(土地+建物)","臺中市西屯區大有二街1~30號",37.38,"住","","",1081012,"土地1建物1車位0","四層","四層","公寓(5樓含以下無電梯)","住家用","鋼筋混凝土造","0710406",114.73,3,2,2,"有","無",6100000,53168,"",0,0,"","RPWNMLSLJIOFFCB78CA"
"南屯區","房地(土地+建物)","臺中市南屯區惠心街12巷1~30號",95,"住","","",1081008,"土地1建物1車位0","全","一層","透天厝","住家用","磚造","0620501",59.26,2,2,1,"有","無",11250000,189841,"",0,0,"","RPQQMLPJKIOFFCB08CA"
"南屯區","房地(土地+建物)","臺中市南屯區永春路1~30號",66,"住","","",1081002,"土地2建物1車位0","全","一層","透天厝","住家用","加強磚造","0620101",38.22,6,2,3,"有","無",1270000,33229,"",0,0,"親友、員工或其他特殊關係間之交易。;含增建或未登記建物。;","RPPNMLQJKIOFFCB77CA"
"沙鹿區","房地(土地+建物)","臺中市沙鹿區保安路55巷1~30號",22.97,"商","","",1081027,"土地1建物1車位0","六層","八層","華廈(10層含以下有電梯)","住家用","鋼筋混凝土造","0930909",120.09,3,2,2,"有","有",5e+06,41635,"",0,0,"","RPSNMLMJKIOFFFB97CA"
"東勢區","房地(土地+建物)","臺中市東勢區東蘭路181~210號",106,"","山坡地保育區","丙種建築用地",1081020,"土地1建物1車位0","全","四層","透天厝","住家用","鋼筋混凝土造","0850821",184.89,4,3,3,"有","無",4600000,24880,"",0,0,"","RPSNMLSLJIOFFGB78CA"
"霧峰區","房地(土地+建物)","臺中市霧峰區四德路241~270號",111.32,"","鄉村區","乙種建築用地",1080212,"土地1建物1車位0","一層，二層，騎樓","二層","店面(店鋪)","住家用","加強磚造","0630630",114.54,5,2,3,"有","無",12500000,109132,"",0,0,"","RPSOMLKKKIOFFIB28CA"
"大雅區","房地(土地+建物)","臺中市大雅區中山一路17巷1~30號",97.67,"農","","",1081024,"土地1建物1車位0","全","四層","透天厝","住家用","鋼筋混凝土造","0830930",186.52,5,1,4,"有","無",6800000,36457,"",0,0,"含增建或未登記建物。共2位登記名義人","RPWNMLKKKIOFFHB48CA"
"大雅區","房地(土地+建物)","臺中市大雅區中山路185巷1~30號",73,"住","","",1080921,"土地1建物1車位0","全","三層","透天厝","住家用","鋼筋混凝土造","0820520",164.48,4,3,3,"有","無",1e+07,60798,"",0,0,"","RPPOMLNKKIOFFHB18CA"
"大雅區","房地(土地+建物)","臺中市大雅區民生路四段139巷31~60號",72,"住","","",1081020,"土地1建物1車位0","全","二層","透天厝","住家用","加強磚造","0710926",101.21,4,3,2,"有","無",7800000,77067,"",0,0,"含增建或未登記建物。;","RPUNMLNJKIOFFHB48CA"
"南屯區","房地(土地+建物)","臺中市南屯區東興西街1~30號",6.25,"住","","",1081024,"土地1建物1車位0","三層","十二層","住宅大樓(11層含以上有電梯)","住家用","鋼筋混凝土造","0801206",54.31,1,1,1,"有","有",2400000,44191,"",0,0,"","RPTQMLKLKIOFFCB08CA"
"大甲區","房地(土地+建物)","臺中市大甲區中山路一段1135巷1~30號",88.49,"住","","",1081101,"土地1建物1車位0","全","三層","透天厝","住家用","鋼筋混凝土造","0790331",138.78,4,2,3,"有","無",7800000,56204,"",0,0,"","RPRNMLSLJIOFFEB48CA"
"豐原區","房地(土地+建物)","臺中市豐原區向陽路31~60號",3.44,"商","","",1081111,"土地1建物1車位0","六層","十三層","套房(1房1廳1衛)","住家用","鋼筋混凝土造","0860602",36.1,1,1,1,"有","有",1920000,53186,"",0,0,"","RPWNMLRLJIOFFDB78CA"
"豐原區","房地(土地+建物)","臺中市豐原區水源路611巷24弄1~30號",41.13,"商","","",1081021,"土地1建物1車位0","四層","五層","公寓(5樓含以下無電梯)","住家用","鋼筋混凝土造","0700708",82.17,3,2,1,"有","無",3300000,40161,"",0,0,"","RPXNMLSLJIOFFDB98CA"
"豐原區","房地(土地+建物)","臺中市豐原區圓環北路二段223巷1~30號",28.11,"住","","",1081023,"土地1建物1車位0","二層","五層","公寓(5樓含以下無電梯)","住家用","鋼筋混凝土造","0810103",93.71,3,2,1,"有","有",4900000,52289,"",0,0,"","RPWNMLTLJIOFFDB98CA"
"大甲區","房地(土地+建物)","臺中市大甲區中華街151~180號",114,"住","","",1081118,"土地1建物1車位0","全","二層","透天厝","住家用","鋼筋混凝土加強磚造","0560221",98.12,4,1,4,"有","無",9e+06,91724,"",0,0,"含3,4樓未登記建物，承買人有2人。","RPQNMLQJKIOFFEB08CA"
"霧峰區","房地(土地+建物)","臺中市霧峰區吉峰路116巷1~30號",136,"","鄉村區","乙種建築用地",1081104,"土地1建物1車位0","全","四層","透天厝","住家用","鋼筋混凝土造","0840517",178.21,4,3,3,"有","無",8e+06,44891,"",0,0,"含增建或未登記建物。;雙方合意房地拆分。","RPRNMLQLKIOFFIB78CA"
"大里區","房地(土地+建物)","臺中市大里區塗城路109巷26弄1~30號",84.5,"","鄉村區","乙種建築用地",1080917,"土地2建物1車位0","全","二層","透天厝","住家用","加強磚造","0691016",99.62,5,3,2,"有","無",8500000,85324,"",0,0,"","RPVQMLOJKIOFFIB09CA"
"大里區","房地(土地+建物)","臺中市大里區永興路99巷1~30號",83.12,"住","","",1081118,"土地1建物1車位0","全","三層","透天厝","住家用","鋼筋混凝土造","0760930",134.58,5,2,4,"有","無",7200000,53500,"",0,0,"","RPQNMLMJKIOFFIB08CA"
"大甲區","房地(土地+建物)","臺中市大甲區中山路二段923巷1~30號",96.87,"","特定農業區","甲種建築用地",1081103,"土地1建物1車位0","全","二層","透天厝","住家用","加強磚造","0690615",112.05,6,2,2,"有","無",3500000,31236,"",0,0,"","RPRNMLNLKIOFFEB08CA"
"梧棲區","房地(土地+建物)","臺中市梧棲區大仁路二段311巷31~60號",22.68,"商","","",1081026,"土地1建物1車位0","四層","十層","華廈(10層含以下有電梯)","住家用","鋼筋混凝土造","0840106",154.6,3,2,2,"有","有",3826000,24748,"",0,0,"","RPOOMLOJKIOFFFB87CA"
"沙鹿區","房地(土地+建物)","臺中市沙鹿區福幼街1~30號",96.73,"住","","",1081031,"土地2建物1車位0","四層","五層","華廈(10層含以下有電梯)","住家用","鋼筋混凝土造","0960412",146.15,6,0,6,"有","無",5780000,39548,"",0,0,"","RPTNMLMJKIOFFFB08CA"
"清水區","房地(土地+建物)","臺中市清水區中山路37巷1~30號",79,"住","","",1081112,"土地1建物1車位0","全","二層","透天厝","住家用","見其他登記事項","0580801",130.2,3,2,2,"有","無",2500000,19201,"",0,0,"","RPPNMLTLJIOFFFB48CA"
"西屯區","房地(土地+建物)","臺中市西屯區黎明路三段301~330號",3.19,"商","","",1081110,"土地1建物1車位0","十一層","十三層","套房(1房1廳1衛)","住家用","鋼筋混凝土造","0840220",23.86,1,0,1,"有","有",1600000,67058,"",0,0,"","RPSNMLQJKIOFFCB08CA"
"西屯區","房地(土地+建物)","臺中市西屯區西屯路二段249之9巷1弄1~30號",7.84,"商","","",1080903,"土地1建物1車位0","五層","十五層","住宅大樓(11層含以上有電梯)","住家用","鋼筋混凝土造","0840215",78.94,3,1,1,"有","有",5e+06,63339,"",0,0,"含增建或未登記建物。;","RPWSMLNKKIOFFCB78CA"
